timestamp,unit,sensoridentifier,samplingRate,status,value_nominal
1590040800050532,PSI,PT-015001,1,"0",0.88
1590040800050530,C,TT-014002,1,"0",10.67
1590040800050528,C,TT-014001,1,"0",10.67
1590040800050527,PSI,PT-014002,1,"0",0.88
1590040800050525,PSI,PT-014001,1,"0",0.88
1590040800050523,C,TT-011507,1,"0",19.2
1590040800050521,C,TT-011506,1,"0",19.2
1590040800050520,C,TT-011505,1,"0",19.2
1590040800050518,C,TT-011504,1,"0",19.2
1590040800050516,C,TT-011503,1,"0",19.2
1590040800050515,C,TT-011502,1,"0",19.2
1590040800050513,C,TT-011501,1,"0",19.2
1590040800050511,PSI,PT-012004,1,"0",0.88
1590040800050510,mm,ZT-013001,1,"0",6.4
1590040800050508,C,TT-011207,1,"0",10.67
1590040800050507,C,TT-011206,1,"0",10.67
1590040800050505,C,TT-011205,1,"0",10.67
1590040800050504,C,TT-011204,1,"0",10.67
1590040800050502,C,TT-011107,1,"0",138.67
1590040800050500,C,TT-011106,1,"0",138.67
1590040800050499,C,TT-011105,1,"0",138.67
1590040800050497,C,TT-011104,1,"0",138.67
1590040800050495,C,TT-011007,1,"0",23.52
1590040800050494,C,TT-011006,1,"0",23.52
1590040800050492,C,TT-011005,1,"0",23.52
1590040800050490,C,TT-011004,1,"0",23.52
1590040800050488,C,TT-012002,1,"0",138.67
1590040800050487,C,TT-012001,1,"0",138.67
1590040800050485,PSI,PT-012002,1,"0",0.88
1590040800050484,PSI,PT-012001,1,"0",0.88
1590040800050482,Bar,PT-010001,1,"0",0.16
1590040800050480,C,TT-010001,1,"0",-13.24
1590040800050478,C,TT-011203,1,"0",10.67
1590040800050477,C,TT-011202,1,"0",10.67
1590040800050475,C,TT-011201,1,"0",10.67
1590040800050473,C,TT-011103,1,"0",138.67
1590040800050438,C,TT-011102,1,"0",138.67
1590040800050436,C,TT-011101,1,"0",138.67
1590040800050434,C,TT-011003,1,"0",23.52
1590040800050430,C,TT-011002,1,"0",23.52
1590040800050416,C,TT-011001,1,"0",23.52
1590040801046137,PSI,PT-015001,1,"0",0.88
1590040801046134,C,TT-014002,1,"0",10.67
1590040801046133,C,TT-014001,1,"0",10.67
1590040801046131,PSI,PT-014002,1,"0",0.88
1590040801046128,PSI,PT-014001,1,"0",0.88
1590040801046126,C,TT-011507,1,"0",19.2
1590040801046125,C,TT-011506,1,"0",19.2
1590040801046123,C,TT-011505,1,"0",19.2
1590040801046121,C,TT-011504,1,"0",19.2
1590040801046119,C,TT-011503,1,"0",19.2
1590040801046117,C,TT-011502,1,"0",19.2
1590040801046115,C,TT-011501,1,"0",19.2
1590040801046113,PSI,PT-012004,1,"0",0.88
1590040801046111,mm,ZT-013001,1,"0",6.4
1590040801046109,C,TT-011207,1,"0",10.67
1590040801046107,C,TT-011206,1,"0",10.67
1590040801046105,C,TT-011205,1,"0",10.67
1590040801046103,C,TT-011204,1,"0",10.67
1590040801046101,C,TT-011107,1,"0",138.67
1590040801046099,C,TT-011106,1,"0",138.67
1590040801046097,C,TT-011105,1,"0",138.67
1590040801046095,C,TT-011104,1,"0",138.67
1590040801046093,C,TT-011007,1,"0",23.52
1590040801046091,C,TT-011006,1,"0",23.52
1590040801046089,C,TT-011005,1,"0",23.52
1590040801046087,C,TT-011004,1,"0",23.52
1590040801046085,C,TT-012002,1,"0",138.67
1590040801046083,C,TT-012001,1,"0",138.67
1590040801046081,PSI,PT-012002,1,"0",0.88
1590040801046079,PSI,PT-012001,1,"0",0.88
1590040801046077,Bar,PT-010001,1,"0",0.16
1590040801046075,C,TT-010001,1,"0",-13.24
1590040801046072,C,TT-011203,1,"0",10.67
1590040801046070,C,TT-011202,1,"0",10.67
1590040801046066,C,TT-011201,1,"0",10.67
1590040801046064,C,TT-011103,1,"0",138.67
1590040801046061,C,TT-011102,1,"0",138.67
1590040801046059,C,TT-011101,1,"0",138.67
1590040801046057,C,TT-011003,1,"0",23.52
1590040801046054,C,TT-011002,1,"0",23.52
1590040801046042,C,TT-011001,1,"0",23.52
1590040802046326,PSI,PT-015001,1,"0",0.88
1590040802046322,C,TT-014002,1,"0",10.67
1590040802046320,C,TT-014001,1,"0",10.67
1590040802046318,PSI,PT-014002,1,"0",0.88
1590040802046316,PSI,PT-014001,1,"0",0.88
1590040802046314,C,TT-011507,1,"0",19.2
1590040802046312,C,TT-011506,1,"0",19.2
1590040802046310,C,TT-011505,1,"0",19.2
1590040802046309,C,TT-011504,1,"0",19.2
1590040802046307,C,TT-011503,1,"0",19.2
1590040802046305,C,TT-011502,1,"0",19.2
1590040802046303,C,TT-011501,1,"0",19.2
1590040802046301,PSI,PT-012004,1,"0",0.88
1590040802046299,mm,ZT-013001,1,"0",6.4
1590040802046297,C,TT-011207,1,"0",10.67
1590040802046295,C,TT-011206,1,"0",10.67
1590040802046293,C,TT-011205,1,"0",10.67
1590040802046291,C,TT-011204,1,"0",10.67
1590040802046289,C,TT-011107,1,"0",138.67
1590040802046287,C,TT-011106,1,"0",138.67
1590040802046285,C,TT-011105,1,"0",138.67
1590040802046283,C,TT-011104,1,"0",138.67
1590040802046281,C,TT-011007,1,"0",23.52
1590040802046279,C,TT-011006,1,"0",23.52
1590040802046275,C,TT-011005,1,"0",23.52
1590040802046273,C,TT-011004,1,"0",23.52
1590040802046271,C,TT-012002,1,"0",138.67
1590040802046269,C,TT-012001,1,"0",138.67
1590040802046267,PSI,PT-012002,1,"0",0.88
1590040802046265,PSI,PT-012001,1,"0",0.88
1590040802046263,Bar,PT-010001,1,"0",0.16
1590040802046261,C,TT-010001,1,"0",-13.24
1590040802046259,C,TT-011203,1,"0",10.67
1590040802046256,C,TT-011202,1,"0",10.67
1590040802046250,C,TT-011201,1,"0",10.67
1590040802046222,C,TT-011103,1,"0",138.67
1590040802046220,C,TT-011102,1,"0",138.67
1590040802046218,C,TT-011101,1,"0",138.67
1590040802046215,C,TT-011003,1,"0",23.52
1590040802046212,C,TT-011002,1,"0",23.52
1590040802046197,C,TT-011001,1,"0",23.52
1590040803046891,PSI,PT-015001,1,"0",0.88
1590040803046889,C,TT-014002,1,"0",10.67
1590040803046887,C,TT-014001,1,"0",10.67
1590040803046885,PSI,PT-014002,1,"0",0.88
1590040803046883,PSI,PT-014001,1,"0",0.88
1590040803046882,C,TT-011507,1,"0",19.2
1590040803046879,C,TT-011506,1,"0",19.2
1590040803046877,C,TT-011505,1,"0",19.2
1590040803046875,C,TT-011504,1,"0",19.2
1590040803046873,C,TT-011503,1,"0",19.2
1590040803046871,C,TT-011502,1,"0",19.2
1590040803046869,C,TT-011501,1,"0",19.2
1590040803046867,PSI,PT-012004,1,"0",0.88
1590040803046866,mm,ZT-013001,1,"0",6.4
1590040803046863,C,TT-011207,1,"0",10.67
1590040803046862,C,TT-011206,1,"0",10.67
1590040803046860,C,TT-011205,1,"0",10.67
1590040803046858,C,TT-011204,1,"0",10.67
1590040803046856,C,TT-011107,1,"0",138.67
1590040803046854,C,TT-011106,1,"0",138.67
1590040803046852,C,TT-011105,1,"0",138.67
1590040803046850,C,TT-011104,1,"0",138.67
1590040803046848,C,TT-011007,1,"0",23.52
1590040803046846,C,TT-011006,1,"0",23.52
1590040803046844,C,TT-011005,1,"0",23.52
1590040803046842,C,TT-011004,1,"0",23.52
1590040803046840,C,TT-012002,1,"0",138.67
1590040803046838,C,TT-012001,1,"0",138.67
